word,root,suffixes
açtı,aç,tı
dolaşmaya,dolaş,maya
kaygan,kaygan,
dediğim,de,diğim
bütün,bütün,
göz,göz,
ayakkabılarını,ayakkabı,larını
yaklaşırken,yaklaş,ırken
zafer,zafer,
söyleyebilir,söyle,yebilir
ağızlarındadır,ağız,larındadır
kulaklarım,kulak,larım
sus,sus,
kuş,kuş,
küçülmeme,küçül,meme
buhar,buhar,
elimizden,el,imizden
at,at,
kollarıyla,kol,larıyla
gülmeye,gül,meye
yaprağıyla,yaprak,ıyla
yukarıdan,yukarı,dan
parmakları,parmak,ları
kessinler,kes,sinler
olmaktan,ol,maktan
kapalıydı,kapalı,ydı
başladığını,başla,dığını
yetişkin,yetişkin,
kalkıp,kalk,ıp
boğuk,boğuk,
köpeğin,köpek,in
konuşurken,konuş,urken
teklifle,teklif,le
şevkle,şevk,le
değil,değil,
tuzlu,tuz,lu
beye,bey,e
söylenecek,söylen,ecek
önemini,önem,ini
şişe,şişe,
yakalar,yakala,r
benziyordu,benze,iyordu
süt,süt,
üstünde,üstün,de
koyuyorsun,koy,uyorsun
peni,peni,
bilinseydi,bil,inseydi
niyeti,niyet,i
lezzete,lezzet,e
uzanıyordu,uzan,ıyordu
derdin,dert,in
uyuyamadım,uyu,yamadım
orada,ora,da
tatlılar,tatlı,lar
anlayacağınız,anla,yacağınız
farkedince,farket,ince
çorbanın,çorba,nın
küstah,küstah,
kaldı,kal,dı
olamayacağını,ol,amayacağını
birilerine,birileri,ne
görüntüleri,görüntü,leri
kalmaya,kal,maya
sürer,süre,r
şeklinin,şekli,nin
göründüğünde,gör,ündüğünde
suçum,suç,um
şeker,şeker,
meselesidir,mesele,sidir
oturur,otur,ur
kurbağaya,kurbağa,ya
aynen,aynen,
ana,ana,
tahtı,taht,ı
bakma,bak,ma
bulduğuna,bul,duğuna
uzatıp,uzat,ıp
üniformasından,üniforma,sından
tepeleyin,tepele,yin
gelmiyordu,gel,miyordu
kadril,kadril,
gövdesini,gövde,sini
yükselterek,yüksel,terek
herkese,herkes,e
saldırdılar,saldır,dılar
askerlerin,asker,lerin
allak,allak,
böylelikle,böyle,likle
uzanıp,uzan,ıp
derim,deri,m
merhem,merhem,
sevgili,sevgili,
esneyerek,esne,yerek
merdivenleri,merdiven,leri
anlatacağına,anlat,acağına
üyelerinden,üye,lerinden
kararsız,karar,sız
destesinin,deste,sinin
çekiyorlarmış,çek,iyorlarmış
hakkında,hak,kında
belirginleşince,belirgin,leşince
sebebinin,sebep,inin
gördüm,gör,düm
küçülüyor,küçül,üyor
getirinceye,getir,inceye
dayandığını,dayan,dığını
flamingonun,flamingo,nun
mal,mal,
sormamı,sor,mamı
anlatacağım,anlat,acağım
çıkmam,çıkma,m
sevdiğini,sev,diğini
kimmiş,kim,miş
çocuklar,çocuk,lar
düştüğüne,düş,tüğüne
sıkıca,sıkı,ca
haykıran,haykır,an
ayaklarına,ayak,larına
bitinceye,bit,inceye
birisi,birisi,
çığlığı,çığlık,ı
içerken,iç,erken
bilsem,bil,sem
demiştin,de,miştin
olan,ol,an
görmedim,gör,medim
bizlerle,biz,lerle
duyuldu,duy,uldu
değişiklikler,değişik,likler
ortalığı,ortalık,ı
oturuyorlardı,otur,uyorlardı
kazanmaya,kazan,maya
girerek,gir,erek
durum,durum,
dersen,ders,en
yanar,yan,ar
verdiğin,ver,diğin
parçalanıyormuş,parçala,nıyormuş
yaptığı,yap,tığı
boğazıma,boğaz,ıma
biliyordu,bil,iyordu
bitince,bit,ince
bulunduğu,bulun,duğu
kaybedilecek,kaybet,ilecek
tavşana,tavşan,a
alışmıştı,alış,mıştı
mecburen,mecburen,
duruma,durum,a
kıpırtısından,kıpırtı,sından
kullanmamalıydın,kullan,mamalıydın
kartal,kartal,
gelmez,gel,mez
pençelerini,pençe,lerini
geçiyorlardı,geç,iyorlardı
küçükken,küçük,ken
düşünceleriniz,düşünce,leriniz
bırakmak,bırak,mak
olamıyorsun,ol,amıyorsun
işitemiyor,işit,emiyor
güvercin,güvercin,
başlamıştın,başla,mıştın
söyledim,söyle,dim
ülkenin,ülke,nin
yazmak,yaz,mak
tamamen,tamamen,
kabalık,kaba,lık
yerinden,yerinde,n
iyice,iyi,ce
şeydir,şey,dir
otlar,otla,r
sağlayacağım,sağla,yacağım
sende,sen,de
oturmanız,oturma,nız
levha,levha,
ortalık,ortalık,
yanındakine,yan,ındakine
bakmalıyım,bak,malıyım
istemem,iste,mem
yazılanları,yaz,ılanları
zıvırın,zıvır,ın
anlayıp,anla,yıp
hoşnut,hoşnut,
yavru,yavru,
demiştim,de,miştim
etrafları,etraf,ları
görüyorum,gör,üyorum
kapıdan,kapı,dan
geçirdiler,geçir,diler
zıplayarak,zıpla,yarak
edildiğinde,et,ildiğinde
kısalırım,kısal,ırım
harika,harika,
istiyorum,iste,iyorum
delikanlı,delikanlı,
uyarıyorum,uyar,ıyorum
reddediyor,reddet,iyor
insin,in,sin
nasıldı,nasıl,dı
olacağıydı,ol,acağıydı
öyküsü,öykü,sü
verirdi,ver,irdi
hepimiz,hep,imiz
hatırlattı,hatırla,ttı
döndüren,dön,düren
tamamlayamadan,tamamla,yamadan
ağlamaya,ağla,maya
aynanın,ayna,nın
yatıyor,yat,ıyor
ağaçlıkta,ağaç,lıkta
çarparak,çarp,arak
yüzemezsin,yüz,emezsin
pudralı,pudra,lı
susturulan,sustur,ulan
yüzmeye,yüzme,ye
yanlış,yanlış,
arıyormuş,ara,ıyormuş
tarih,tarih,
şıpırdayan,şıpır,dayan
çoğunlukla,çoğunluk,la
çağır,çağır,
kesim,kesim,
sivri,sivri,
görünmeye,gör,ünmeye
başlayayım,başla,yayım
aldık,al,dık
fırsattı,fırsat,tı
döndürmüş,dön,dürmüş
biriyim,biri,yim
krema,krema,
çöreği,çörek,i
oluncaya,ol,uncaya
mu,mu,
nasıl,nasıl,
öbürüne,öbür,üne
ıx,ıx,
aydınlanan,aydınlan,an
farkederse,farket,erse
yok,yok,
derdim,dert,im
ulaşamayacağım,ulaş,amayacağım
aksırmak,aksır,mak
uzaklaştı,uzak,laştı
bileceğini,bil,eceğini
saçlarının,saç,larının
koridor,koridor,
insanın,insan,ın
yoksa,yoksa,
öldürürmüş,öldür,ürmüş
oradakilerin,ora,dakilerin
anlayamadım,anla,yamadım
huylu,huy,lu
yani,yani,
turtası,turta,sı
kullandığınız,kullan,dığınız
program,program,
iz,iz,
harikalar,harika,lar
ablasının,abla,sının
değmez,değ,mez
birini,biri,ni
söylenenleri,söylen,enleri
başlıyordu,başla,ıyordu
kaplumbağanın,kaplumbağa,nın
geleceğini,gelecek,ini
katlanacağı,katlan,acağı
sevinci,sevinç,i
ettiği,et,tiği
aşırı,aşırı,
vermesine,ver,mesine
neleri,ne,leri
durmayarak,dur,mayarak
olurken,ol,urken
çaktı,çak,tı
düşünmüyorum,düşün,müyorum
anlamsız,anlam,sız
düşünceleri,düşünce,leri
sütünü,süt,ünü
idama,idam,a
düşündü,düşün,dü
kanatlanmaları,kanatlan,maları
yerleştirmeyi,yerleş,tirmeyi
oluşturduğu,oluş,turduğu
çuval,çuval,
birilerinin,birileri,nin
olurdu,ol,urdu
görmek,gör,mek
şeyi,şey,i
üzüntülü,üzüntü,lü
açamadı,aç,amadı
zamanların,zaman,ların
edemez,et,emez
çıkıp,çık,ıp
boyandığı,boyan,dığı
olabilirim,ol,abilirim
yanılıyorsun,yanıl,ıyorsun
onaylamaya,onayla,maya
arkasında,arka,sında
gitmişti,git,mişti
gidersin,gider,sin
kraliçem,kraliçe,m
üstüme,üst,üme
yaklaştıklarında,yaklaş,tıklarında
yükselip,yüksel,ip
ısrar,ısrar,
düşünmek,düşün,mek
çarpsa,çarp,sa
düşüyor,düş,üyor
gelen,gele,n
eğdi,eğ,di
hiçbirini,hiçbiri,ni
bakınıyordu,bakın,ıyordu
beri,beri,
ulaşana,ulaş,ana
ıslak,ıslak,
mantarı,mantar,ı
bırakarak,bırak,arak
duydu,duy,du
pekala,pekala,
denizdeki,deniz,deki
girebileceğini,gir,ebileceğini
olmalıyım,ol,malıyım
soluk,soluk,
yanlışlıkla,yanlışlık,la
ondan,onda,n
batan,bat,an
tavşandan,tavşan,dan
ancak,ancak,
umarak,um,arak
yılan,yılan,
ölüme,ölüm,e
