word,root,suffixes
anlamlandır,anlam,landır
anlamlandırmak,anlam,landırmak
anlamlandırılmak,anlam,landırılmak
anlamlanmak,anlam,lanmak
anlamlanabilir,anlam,lanabilir
çocuklaştır,çocuk,laştır
çocuklaştırmak,çocuk,laştırmak
çocuklaştırılmış,çocuk,laştırılmış
duyarsız,duy,arsız
duyarsızlaşmak,duy,arsızlaşmak
duyarsızlaştırmak,duy,arsızlaştırmak
kızarmak,kız,armak
kızartmak,kız,artmak
kırmızılaşmak,kırmızı,laşmak
temizlemek,temiz,lemek
temizlenmek,temiz,lenmek
temizlendirilebilir,temiz,lendirilebilir
haklı,hak,lı
haklılaştırmak,hak,lılaştırmak
taşlaşmak,taş,laşmak
taşlaştırmak,taş,laştırmak
taşlaşabilir,taş,laşabilir
yavaşlatmak,yavaş,latmak
yavaşlayabilir,yavaş,layabilir
güzelleştirmek,güzel,leştirmek
güzelleşebilir,güzel,leşebilir
akıllanmak,akıl,lanmak
akıllandırmak,akıl,landırmak
akıllanabilir,akıl,lanabilir
beyazlaşmak,beyaz,laşmak
beyazlatmak,beyaz,latmak
beyazlaştırmak,beyaz,laştırmak
kararmak,kara,rmak
karartmak,kara,rtmak
karanlıklaştırmak,kara,nlıklaştırmak
karanlıklaşmak,kara,nlıklaşmak
uzamak,uza,mak
uzatmak,uza,tmak
uzatılabilir,uza,tılabilir
uzlaşmak,uz,laşmak
uzlaştırmak,uz,laştırmak
gençleşmek,genç,leşmek
gençleştirmek,genç,leştirmek
ağarmak,ağar,mak
ağartmak,ağar,tmak
ağartılmak,ağar,tılmak
yaşlanmak,yaş,lanmak
yaşlandırmak,yaş,landırmak
yaşlanabilir,yaş,lanabilir
canlanmak,can,lanmak
canlandırmak,can,landırmak
canlandırılabilir,can,landırılabilir
cansızlaşmak,can,sızlaşmak
sıcaklaşmak,sıcak,laşmak
ısınmak,ısı,nmak
ısındırmak,ısı,ndırmak
soğumak,soğuk,mak
soğutmak,soğuk,tmak
soğutulabilir,soğuk,tulabilir
soğuklaşmak,soğuk,laşmak
soğuklaştırmak,soğuk,laştırmak
kısalmak,kısa,lmak
kısaltmak,kısa,ltmak
kısaltılabilir,kısa,ltılabilir
kısalaştırmak,kısa,laştırmak
kısalabilir,kısa,labilir
uzlaşılabilir,uz,laşılabilir
uzlaştırılabilir,uz,laştırılabilir
uzaklaşmak,uzak,laşmak
uzaklaştırmak,uzak,laştırmak
hoşlaşmak,hoş,laşmak
hoşlaştırmak,hoş,laştırmak
hoşnutsuzlaşmak,hoş,nutsuzlaşmak
acılaşmak,acı,laşmak
acılaştırmak,acı,laştırmak
acılaştırılmak,acı,laştırılmak
tatlanmak,tat,lanmak
tatlandırmak,tat,landırmak
tatsızlaşmak,tat,sızlaşmak
tatsızlaştırmak,tat,sızlaştırmak
doğallaşmak,doğal,laşmak
uygarlaşmak,uygar,laşmak
uygarlaştırmak,uygar,laştırmak
uygarlaştırılmak,uygar,laştırılmak
temellenmek,temel,lenmek
temellendirmek,temel,lendirmek
temellendirilebilir,temel,lendirilabilir
temsilleştirmek,temsil,leştirmek
temsilleşmek,temsil,leşmek
şeffaflaşmak,şeffaf,laşmak
şekillenmek,şekil,lenmek
güçlenmek,güç,lenmek
güçlendirmek,güç,lendirmek
güçlendirilebilir,güç,lendirilebilir
güçsüzleşmek,güç,süzleşmek
güçsüzleştirmek,güç,süzleştirmek
renklenmek,renk,lenmek
renklendirmek,renk,lendirmek
renklendirilebilir,renk,lendirilebilir
renksizleşmek,renk,sizleşmek
renksizleştirmek,renk,sizleştirmek
dumanlanmak,duman,lanmak
dumanlandırmak,duman,landırmak
dumanlaştırmak,duman,laştırmak
dumanlaştırılabilir,duman,laştırılabilir
takatli,takat,li
takatsiz,takat,siz
takatsizlik,takat,sizlik
takatlenmek,takat,lenmek
takatkar,takat,kar
mahluk,mahluk,NaN
mahlukât,mahluk,at
meşakkat,meşakkat,NaN
meşakkatli,meşakkat,li
mükellef,mükellef,NaN
mükellefiyet,mükellef,iyet
müteşekkir,müteşekkir,NaN
müteşekkirane,müteşekkir,ane
müteakkip,müteakkip,NaN
müteakiben,müteakkip,en
mütemadi,mütemadi,NaN
mütemadiyen,mütemadi,yen
mütemadilik,mütemadi,lik
mütevazi,mütevazi,NaN
mütevazilik,mütevazi,lik
mütevaziane,mütevazi,ane
müspet,müspet,NaN
müspetlik,müspet,lik
müspetsiz,müspet,siz
müspetleşmek,müspet,leşmek
müspetleştirmek,müspet,leştirmek
menfi,menfi,NaN
menfilik,menfi,lik
menfileşmek,menfi,leşmek
menfileştirmek,menfi,leştirmek
menfice,menfi,ce
mukadder,mukadder,NaN
mukadderat,mukadder,at
mukadderatçı,mukadder,atçı
mukadderane,mukadder,ane
mücerret,mücerret,NaN
mücerretane,mücerret,ane
müspetçi,müspet,çi
müftü,müftü,NaN
müftülük,müftü,lük
mevki,mevki,NaN
mevkili,mevki,li
mevkisiz,mevki,siz
mevkilenmek,mevki,lenmek
mevkileşmek,mevki,leşmek
mütefekkir,mütefekkir,NaN
mütefekkirane,mütefekkir,ane
mütefekkirlik,mütefekkir,lik
mütevakkıf,mütevakkıf,NaN
mütevakkıflık,mütevakkıf,lık
mütevakkıfane,mütevakkıf,ane
mütevakkıfça,mütevakkıf,ça
mütevakkıflaşmak,mütevakkıf,laşmak
mühimleştirmek,mühim,leştirmek
mühimane,mühim,ane
mülayim,mülayim,NaN
mülayimlik,mülayim,lik
mühimmatsız,mühimmat,sız
teşekküllü,teşekkül,lü
teferruat,teferruat,NaN
muallimlik,muallim,lik
müteşebbis,müteşebbis,NaN
muallak,muallak,NaN
