açtı,aç:tı
dolaşmaya,dolaş:maya
kaygan,kay:gan
dediğim,de:diğim
bütün,bütün
göz,göz
ayakkabılarını,ayak:kabılarını
yaklaşırken,yaklaş:ırken
zafer,zafer
söyleyebilir,söyle:yebilir
ağızlarındadır,ağız:larındadır
kulaklarım,kulak:larım
sus,sus
kuş,kuş
küçülmeme,küçü(k):lmeme
buhar,buhar
elimizden,el:imizden
at,at
kollarıyla,kol:larıyla
gülmeye,gül:meye
yaprağıyla,yaprak:ıyla
yukarıdan,yukarı:dan
parmakları,parmak:ları
kessinler,kes:sinler
olmaktan,ol:maktan
kapalıydı,kapalı:ydı
başladığını,baş:ladığını
yetişkin,yet:işkin
kalkıp,kalk:ıp
boğuk,boğ:uk
köpeğin,köpek:in
konuşurken,konuş:urken
teklifle,teklif:le
şevkle,şevk:le
değil,değil
tuzlu,tuz:lu
beye,bey:e
söylenecek,söyle:necek
önemini,ön:emini
şişe,şiş:e
yakalar,yakala:r
benziyordu,ben(i)z:iyordu
süt,süt
üstünde,üst:ünde
koyuyorsun,koy:uyorsun
bilinseydi,bil:inseydi
niyeti,niyet:i
lezzete,lezzet:e
uzanıyordu,uzan:ıyordu
derdin,dert:in
uyuyamadım,uyu:yamadım
orada,ora:da
tatlılar,tat:lılar
anlayacağınız,an:layacağınız
farkedince,fark:e(t)dince
çorbanın,çorba:nın
küstah,küstah
kaldı,kal:dı
olamayacağını,ol:amayacağını
birilerine,bir:ilerine
görüntüleri,gör:üntüleri
kalmaya,kal:maya
sürer,sür:er
şeklinin,şek(i)l:inin
göründüğünde,gör:ündüğünde
suçum,suç:um
şeker,şeker
meselesidir,mesele:sidir
oturur,otur:ur
kurbağaya,kurbağa:ya
aynen,ayn(ı):en
ana,ana
tahtı,taht:ı
bakma,bak:ma
bulduğuna,bul:duğuna
uzatıp,uz:atıp
üniformasından,üniforma:sından
tepeleyin,tepe:leyin
gelmiyordu,gel:miyordu
kadril,kadril
gövdesini,gövde:sini
yükselterek,yükse(k):lterek
herkese,herkes:e
saldırdılar,sal:dırdılar
askerlerin,asker:lerin
allak,allak
böylelikle,böyle:likle
uzanıp,uz:anıp
derim,deri:m
merhem,merhem
sevgili,sev:gili
esneyerek,esne:yerek
merdivenleri,merdiven:leri
anlatacağına,anla:tacağına
üyelerinden,üye:lerinden
kararsız,karar:sız
destesinin,deste:sinin
çekiyorlarmış,çek:iyorlarmış
hakkında,hak:kında
belirginleşince,belir:ginleşince
sebebinin,sebe(p):binin
gördüm,gör:düm
küçülüyor,küçü(k):lüyor
getirinceye,getir:inceye
dayandığını,daya:ndığını
flamingonun,flamingo:nun
mal,mal
sormamı,sor:mamı
anlatacağım,an:latacağım
çıkmam,çık:mam
sevdiğini,sev:diğini
kimmiş,kim:miş
çocuklar,çocuk:lar
düştüğüne,düş:tüğüne
sıkıca,sık:ıca
haykıran,haykır:an
ayaklarına,ayak:larına
bitinceye,bit:inceye
birisi,bir:isi
çığlığı,çığlık:ı
içerken,iç:erken
bilsem,bil:sem
demiştin,de:miştin
olan,ol:an
görmedim,gör:medim
bizlerle,biz:lerle
duyuldu,duy:uldu
değişiklikler,değiş:iklikler
ortalığı,orta:lıkı
oturuyorlardı,otur:uyorlardı
kazanmaya,kazan:maya
girerek,gir:erek
durum,dur:um
dersen,ders:en
yanar,yan:ar
verdiğin,ver:diğin
parçalanıyormuş,parça:lanıyormuş
yaptığı,yap:tığı
boğazıma,boğaz:ıma
biliyordu,bil:iyordu
bitince,bit:ince
bulunduğu,bul:unduğu
kaybedilecek,kay(ıp):bedilecek
tavşana,tavşan:a
alışmıştı,alış:mıştı
mecburen,mecbur:en
duruma,dur:uma
kıpırtısından,kıpır:tısından
kullanmamalıydın,kullan:mamalıydın
kartal,kartal
gelmez,gel:mez
pençelerini,pençe:lerini
geçiyorlardı,geç:iyorlardı
küçükken,küçük:ken
düşünceleriniz,düş:ünceleriniz
bırakmak,bırak:mak
olamıyorsun,ol:amıyorsun
işitemiyor,işit:emiyor
güvercin,güvercin
başlamıştın,baş:lamıştın
söyledim,söyle:dim
ülkenin,ülke:nin
yazmak,yaz:mak
tamamen,tam:amen
kabalık,kaba:lık
yerinden,yer:inden
iyice,iyi:ce
şeydir,şey:dir
otlar,otla:r
sağlayacağım,sağla:yacağım
sende,sen:de
oturmanız,otur:manız
levha,levha
ortalık,orta:lık
yanındakine,yan:ındakine
bakmalıyım,bak:malıyım
istemem,iste:mem
yazılanları,yaz:ılanları
zıvırın,zıvır:ın
anlayıp,an:layıp
hoşnut,hoş:nut
yavru,yavru
demiştim,de:miştim
etrafları,etraf:ları
görüyorum,gör:üyorum
kapıdan,kapı:dan
geçirdiler,geç:irdiler
zıplayarak,zıpla:yarak
edildiğinde,e(t):dildiğinde
kısalırım,kısa:lırım
harika,harika
istiyorum,iste:iyorum
delikanlı,deli:kanlı
uyarıyorum,uy:arıyorum
reddediyor,reddet:iyor
insin,in:sin
nasıldı,nasıl:dı
olacağıydı,ol:acağıydı
öyküsü,öykü:sü
