word,root,suffixes
evler,ev,-ler
evde,ev,-de
evden,ev,-den
evim,ev,-im
evimde,ev,-im-de
evlerim,ev,-ler-im
evlerimde,ev,-ler-im-de
kitap,kitap,
kitaplar,kitap,-lar
kitapta,kitap,-ta
kitaptan,kitap,-tan
kitabım,kitap,-ım
kitabımda,kitap,-ım-da
kitaplarım,kitap,-lar-ım
kitaplarımda,kitap,-lar-ım-da
kalem,kalem,
kalemler,kalem,-ler
kalemde,kalem,-de
kalemden,kalem,-den
kalemim,kalem,-im
kalemimde,kalem,-im-de
kalemlerim,kalem,-ler-im
kalemlerimde,kalem,-ler-im-de
masa,masa,
masalar,masa,-lar
masada,masa,-da
masadan,masa,-dan
masam,masa,-m
masamda,masa,-m-da
masalarım,masa,-lar-ım
masalarımda,masa,-lar-ım-da
çocuk,çocuk,
çocuklar,çocuk,-lar
çocukta,çocuk,-ta
çocuktan,çocuk,-tan
çocuğum,çocuk,-um
çocuğumda,çocuk,-um-da
çocuklarım,çocuk,-lar-ım
çocuklarımda,çocuk,-lar-ım-da
öğrenci,öğrenci,
öğrenciler,öğrenci,-ler
öğrencide,öğrenci,-de
öğrenciden,öğrenci,-den
öğrencim,öğrenci,-im
öğrencimde,öğrenci,-im-de
öğrencilerim,öğrenci,-ler-im
öğrencilerimde,öğrenci,-ler-im-de
öğretmen,öğretmen,
öğretmenler,öğretmen,-ler
öğretmende,öğretmen,-de
öğretmenden,öğretmen,-den
öğretmenim,öğretmen,-im
öğretmenimde,öğretmen,-im-de
öğretmenlerim,öğretmen,-ler-im
öğretmenlerimde,öğretmen,-ler-im-de
anne,anne,
anneler,anne,-ler
annede,anne,-de
anneden,anne,-den
annem,anne,-m
annemde,anne,-m-de
annelerim,anne,-ler-im
annelerimde,anne,-ler-im-de
baba,baba,
babalar,baba,-lar
babada,baba,-da
babadan,baba,-dan
babam,baba,-m
babamda,baba,-m-da
babalarım,baba,-lar-ım
babalarımda,baba,-lar-ım-da
kardeş,kardeş,
kardeşler,kardeş,-ler
kardeşte,kardeş,-te
kardeşten,kardeş,-ten
kardeşim,kardeş,-im
kardeşimde,kardeş,-im-de
kardeşlerim,kardeş,-ler-im
kardeşlerimde,kardeş,-ler-im-de
okul,okul,
okullar,okul,-lar
okulda,okul,-da
okuldan,okul,-dan
okulum,okul,-um
okulumda,okul,-um-da
okullarım,okul,-lar-ım
okullarımda,okul,-lar-ım-da
hastane,hastane,
hastaneler,hastane,-ler
hastanede,hastane,-de
hastaneden,hastane,-den
hastanem,hastane,-m
hastanemde,hastane,-m-de
hastanelerim,hastane,-ler-im
hastanelerimde,hastane,-ler-im-de
market,market,
marketler,market,-ler
markette,market,-te
marketten,market,-ten
marketim,market,-im
marketimde,market,-im-de
marketlerim,market,-ler-im
marketlerimde,market,-ler-im-de
restoran,restoran,
restoranlar,restoran,-lar
restoranda,restoran,-da
restorandan,restoran,-dan
restoranım,restoran,-ım
restoranımda,restoran,-ım-da
restoranlarım,restoran,-lar-ım
restoranlarımda,restoran,-lar-ım-da
sinema,sinema,
sinemalar,sinema,-lar
sinemada,sinema,-da
sinemadan,sinema,-dan
sinemam,sinema,-m
sinemamda,sinema,-m-da
sinemalarım,sinema,-lar-ım
sinemalarımda,sinema,-lar-ım-da
park,park,
parklar,park,-lar
parkta,park,-ta
parktan,park,-tan
parkım,park,-ım
parkımda,park,-ım-da
parklarım,park,-lar-ım
parklarımda,park,-lar-ım-da
bahçe,bahçe,
bahçeler,bahçe,-ler
bahçede,bahçe,-de
bahçeden,bahçe,-den
bahçem,bahçe,-m
bahçemde,bahçe,-m-de
bahçelerim,bahçe,-ler-im
bahçelerimde,bahçe,-ler-im-de
orman,orman,
ormanlar,orman,-lar
ormanda,orman,-da
ormandan,orman,-dan
ormanım,orman,-ım
ormanımda,orman,-ım-da
ormanlarım,orman,-lar-ım
ormanlarımda,orman,-lar-ım-da
deniz,deniz,
denizler,deniz,-ler
denizde,deniz,-de
denizden,deniz,-den
denizim,deniz,-im
denizimde,deniz,-im-de
denizlerim,deniz,-ler-im
denizlerimde,deniz,-ler-im-de
göl,göl,
göller,göl,-ler
gölde,göl,-de
gölden,göl,-den
gölüm,göl,-üm
gölümde,göl,-üm-de
göllerim,göl,-ler-im
göllerimde,göl,-ler-im-de
nehir,nehir,
nehirler,nehir,-ler
nehirde,nehir,-de
nehirden,nehir,-den
nehrim,nehir,-im
nehrimde,nehir,-im-de
nehirlerim,nehir,-ler-im
nehirlerimde,nehir,-ler-im-de
dağ,dağ,
dağlar,dağ,-lar
dağda,dağ,-da
dağdan,dağ,-dan
dağım,dağ,-ım
dağımda,dağ,-ım-da
dağlarım,dağ,-lar-ım
dağlarımda,dağ,-lar-ım-da
tepe,tepe,
tepeler,tepe,-ler
tepede,tepe,-de
tepeden,tepe,-den
tepem,tepe,-m
tepemde,tepe,-m-de
tepelerim,tepe,-ler-im
tepelerimde,tepe,-ler-im-de
güneş,güneş,
güneşler,güneş,-ler
güneşte,güneş,-te
güneşten,güneş,-ten
güneşim,güneş,-im
güneşimde,güneş,-im-de
güneşlerim,güneş,-ler-im
güneşlerimde,güneş,-ler-im-de
ay,ay,
aylar,ay,-lar
ayda,ay,-da
aydan,ay,-dan
ayım,ay,-ım
ayımda,ay,-ım-da
aylarım,ay,-lar-ım
aylarımda,ay,-lar-ım-da
yıldız,yıldız,
yıldızlar,yıldız,-lar
yıldızda,yıldız,-da
yıldızdan,yıldız,-dan
yıldızım,yıldız,-ım
yıldızımda,yıldız,-ım-da
yıldızlarım,yıldız,-lar-ım
yıldızlarımda,yıldız,-lar-ım-da
bulut,bulut,
bulutlar,bulut,-lar
bulutta,bulut,-ta
buluttan,bulut,-tan
bulutum,bulut,-um
bulutumda,bulut,-um-da
bulutlarım,bulut,-lar-ım
bulutlarımda,bulut,-lar-ım-da
yağmur,yağmur,
yağmurlar,yağmur,-lar
yağmurda,yağmur,-da
yağmurdan,yağmur,-dan
yağmurum,yağmur,-um
yağmurumda,yağmur,-um-da
yağmurlarım,yağmur,-lar-ım
yağmurlarımda,yağmur,-lar-ım-da
kar,kar,
karlar,kar,-lar
karda,kar,-da
kardan,kar,-dan
karım,kar,-ım
karımda,kar,-ım-da
karlarım,kar,-lar-ım
karlarımda,kar,-lar-ım-da
rüzgar,rüzgar,
rüzgarlar,rüzgar,-lar
rüzgarda,rüzgar,-da
rüzgardan,rüzgar,-dan
rüzgarım,rüzgar,-ım
rüzgarımda,rüzgar,-ım-da
rüzgarlarım,rüzgar,-lar-ım
rüzgarlarımda,rüzgar,-lar-ım-da
fırtına,fırtına,
fırtınalar,fırtına,-lar
fırtınada,fırtına,-da
fırtınadan,fırtına,-dan
fırtınam,fırtına,-m
fırtınamda,fırtına,-m-da
fırtınalarım,fırtına,-lar-ım
fırtınalarımda,fırtına,-lar-ım-da
kedi,kedi,
kediler,kedi,-ler
kedide,kedi,-de
kediden,kedi,-den
kedim,kedi,-m
kedimde,kedi,-m-de
kedilerim,kedi,-ler-im
kedilerimde,kedi,-ler-im-de
köpek,köpek,
köpekler,köpek,-ler
köpekte,köpek,-te
köpekten,köpek,-ten
köpeğim,köpek,-im
köpeğimde,köpek,-im-de
köpeklerim,köpek,-ler-im
köpeklerimde,köpek,-ler-im-de
kuş,kuş,
kuşlar,kuş,-lar
kuşta,kuş,-ta
kuştan,kuş,-tan
kuşum,kuş,-um
kuşumda,kuş,-um-da
kuşlarım,kuş,-lar-ım
kuşlarımda,kuş,-lar-ım-da
balık,balık,
balıklar,balık,-lar
balıkta,balık,-ta
balıktan,balık,-tan
balığım,balık,-ım
balığımda,balık,-ım-da
balıklarım,balık,-lar-ım
balıklarımda,balık,-lar-ım-da
at,at,
atlar,at,-lar
atta,at,-ta
attan,at,-tan
atım,at,-ım
atımda,at,-ım-da
atlarım,at,-lar-ım
atlarımda,at,-lar-ım-da
inek,inek,
inekler,inek,-ler
inekte,inek,-te
inekten,inek,-ten
ineğim,inek,-im
ineğimde,inek,-im-de
ineklerim,inek,-ler-im
ineklerimde,inek,-ler-im-de
koyun,koyun,
koyunlar,koyun,-lar
koyunda,koyun,-da
koyundan,koyun,-dan
koyunum,koyun,-um
koyunumda,koyun,-um-da
koyunlarım,koyun,-lar-ım
koyunlarımda,koyun,-lar-ım-da
keçi,keçi,
keçiler,keçi,-ler
keçide,keçi,-de
keçiden,keçi,-den
keçim,keçi,-m
keçimde,keçi,-m-de
keçilerim,keçi,-ler-im
keçilerimde,keçi,-ler-im-de
elma,elma,
elmalar,elma,-lar
elmada,elma,-da
elmadan,elma,-dan
elmam,elma,-m
elmamda,elma,-m-da
elmalarım,elma,-lar-ım
elmalarımda,elma,-lar-ım-da
armut,armut,
armutlar,armut,-lar
armutta,armut,-ta
armuttan,armut,-tan
armudum,armut,-um
armudumda,armut,-um-da
armutlarım,armut,-lar-ım
armutlarımda,armut,-lar-ım-da
portakal,portakal,
portakallar,portakal,-lar
portakalda,portakal,-da
portakaldan,portakal,-dan
portakalım,portakal,-ım
portakalımda,portakal,-ım-da
portakallarım,portakal,-lar-ım
portakallarımda,portakal,-lar-ım-da
muz,muz,
muzlar,muz,-lar
muzda,muz,-da
muzdan,muz,-dan
muzum,muz,-um
muzumda,muz,-um-da
muzlarım,muz,-lar-ım
muzlarımda,muz,-lar-ım-da
çilek,çilek,
çilekler,çilek,-ler
çilekte,çilek,-te
çilekten,çilek,-ten
çileğim,çilek,-im
çileğimde,çilek,-im-de
çileklerim,çilek,-ler-im
çileklerimde,çilek,-ler-im-de
üzüm,üzüm,
üzümler,üzüm,-ler
üzümde,üzüm,-de
üzümden,üzüm,-den
üzümüm,üzüm,-üm
üzümümde,üzüm,-üm-de
üzümlerim,üzüm,-ler-im
üzümlerimde,üzüm,-ler-im-de
karpuz,karpuz,
karpuzlar,karpuz,-lar
karpuzda,karpuz,-da
karpuzdan,karpuz,-dan
karpuzum,karpuz,-um
karpuzumda,karpuz,-um-da
karpuzlarım,karpuz,-lar-ım
karpuzlarımda,karpuz,-lar-ım-da
kavun,kavun,
kavunlar,kavun,-lar
kavunda,kavun,-da
kavundan,kavun,-dan
kavunum,kavun,-um
kavunumda,kavun,-um-da
kavunlarım,kavun,-lar-ım
kavunlarımda,kavun,-lar-ım-da
ekmek,ekmek,
ekmekler,ekmek,-ler
ekmekte,ekmek,-te
ekmekten,ekmek,-ten
ekmeğim,ekmek,-im
ekmeğimde,ekmek,-im-de
ekmeklerim,ekmek,-ler-im
ekmeklerimde,ekmek,-ler-im-de
süt,süt,
sütler,süt,-ler
sütte,süt,-te
sütten,süt,-ten
sütüm,süt,-üm
sütümde,süt,-üm-de
sütlerim,süt,-ler-im
sütlerimde,süt,-ler-im-de
peynir,peynir,
peynirler,peynir,-ler
peynirde,peynir,-de
peynirden,peynir,-den
peynirim,peynir,-im
peynirimde,peynir,-im-de
peynirlerim,peynir,-ler-im
peynirlerimde,peynir,-ler-im-de
yumurta,yumurta,
yumurtalar,yumurta,-lar
yumurtada,yumurta,-da
yumurtadan,yumurta,-dan
yumurtam,yumurta,-m
yumurtamda,yumurta,-m-da
yumurtalarım,yumurta,-lar-ım
yumurtalarımda,yumurta,-lar-ım-da
et,et,
etler,et,-ler
ette,et,-te
etten,et,-ten
etim,et,-im
etimde,et,-im-de
etlerim,et,-ler-im
etlerimde,et,-ler-im-de
tavuk,tavuk,
tavuklar,tavuk,-lar
tavukta,tavuk,-ta
tavuktan,tavuk,-tan
tavuğum,tavuk,-um
tavuğumda,tavuk,-um-da
tavuklarım,tavuk,-lar-ım
tavuklarımda,tavuk,-lar-ım-da
pirinç,pirinç,
pirinçler,pirinç,-ler
pirinçte,pirinç,-te
pirinçten,pirinç,-ten
pirincim,pirinç,-im
pirincimde,pirinç,-im-de
pirinçlerim,pirinç,-ler-im
pirinçlerimde,pirinç,-ler-im-de
makarna,makarna,
makarnalar,makarna,-lar
makarnada,makarna,-da
makarnadan,makarna,-dan
makarnam,makarna,-m
makarnamda,makarna,-m-da
makarnalarım,makarna,-lar-ım
makarnalarımda,makarna,-lar-ım-da
patates,patates,
patatesler,patates,-ler
patateste,patates,-te
patatesten,patates,-ten
patatesim,patates,-im
patatesimde,patates,-im-de
patateslerim,patates,-ler-im
patateslerimde,patates,-ler-im-de
havuç,havuç,
havuçlar,havuç,-lar
havuçta,havuç,-ta
havuçtan,havuç,-tan
havucum,havuç,-um
havucumda,havuç,-um-da
havuçlarım,havuç,-lar-ım
havuçlarımda,havuç,-lar-ım-da
soğan,soğan,
soğanlar,soğan,-lar
soğanda,soğan,-da
soğandan,soğan,-dan
soğanım,soğan,-ım
soğanımda,soğan,-ım-da
soğanlarım,soğan,-lar-ım
soğanlarımda,soğan,-lar-ım-da
sarımsak,sarımsak,
sarımsaklar,sarımsak,-lar
sarımsakta,sarımsak,-ta
sarımsaktan,sarımsak,-tan
sarımsağım,sarımsak,-ım
sarımsağımda,sarımsak,-ım-da
sarımsaklarım,sarımsak,-lar-ım
sarımsaklarımda,sarımsak,-lar-ım-da
domates,domates,
domatesler,domates,-ler
domateste,domates,-te
domatesten,domates,-ten
domatesim,domates,-im
domatesimde,domates,-im-de
