,word,root,suffixes
0,evler,ev,ler
1,evde,ev,de
2,evden,ev,den
3,evim,ev,im
4,evimde,ev,im de
5,evlerim,ev,ler im
6,evlerimde,ev,ler im de
7,kitap,kitap,
8,kitaplar,kitap,lar
9,kitapta,kitap,ta
10,kitaptan,kitap,tan
11,kitabım,kitap,ım
12,kitabımda,kitap,ım da
13,kitaplarım,kitap,lar ım
14,kitaplarımda,kitap,lar ım da
15,kalem,kalem,
16,kalemler,kalem,ler
17,kalemde,kalem,de
18,kalemden,kalem,den
19,kalemim,kalem,im
20,kalemimde,kalem,im de
21,kalemlerim,kalem,ler im
22,kalemlerimde,kalem,ler im de
23,masa,masa,
24,masalar,masa,lar
25,masada,masa,da
26,masadan,masa,dan
27,masam,masa,m
28,masamda,masa,m da
29,masalarım,masa,lar ım
30,masalarımda,masa,lar ım da
31,çocuk,çocuk,
32,çocuklar,çocuk,lar
33,çocukta,çocuk,ta
34,çocuktan,çocuk,tan
35,çocuğum,çocuk,um
36,çocuğumda,çocuk,um da
37,çocuklarım,çocuk,lar ım
38,çocuklarımda,çocuk,lar ım da
39,öğrenci,öğrenci,
40,öğrenciler,öğrenci,ler
41,öğrencide,öğrenci,de
42,öğrenciden,öğrenci,den
43,öğrencim,öğrenci,im
44,öğrencimde,öğrenci,im de
45,öğrencilerim,öğrenci,ler im
46,öğrencilerimde,öğrenci,ler im de
47,öğretmen,öğretmen,
48,öğretmenler,öğretmen,ler
49,öğretmende,öğretmen,de
50,öğretmenden,öğretmen,den
51,öğretmenim,öğretmen,im
52,öğretmenimde,öğretmen,im de
53,öğretmenlerim,öğretmen,ler im
54,öğretmenlerimde,öğretmen,ler im de
55,anne,anne,
56,anneler,anne,ler
57,annede,anne,de
58,anneden,anne,den
59,annem,anne,m
60,annemde,anne,m de
61,annelerim,anne,ler im
62,annelerimde,anne,ler im de
63,baba,baba,
64,babalar,baba,lar
65,babada,baba,da
66,babadan,baba,dan
67,babam,baba,m
68,babamda,baba,m da
69,babalarım,baba,lar ım
70,babalarımda,baba,lar ım da
71,kardeş,kardeş,
