word,root,suffixes
alıyorum,al,ıyorum
görmek,gör,mek
dersin,ders,in
şiddetli,şiddet,li
yumurtalar,yumurta,lar
yanımızda,yan,ımızda
yakalamakta,yakala,makta
arkadaşları,arkadaş,ları
tatillerim,tatil,lerim
buralarda,bura,larda
ayrılmak,ayrıl,mak
kitabımda,kitap,ımda
durmaya,dur,maya
anahtarı,anahtar,ı
fareyle,fare,yle
makasta,makas,ta
yayını,yay,ını
matlarım,mat,larım
baharatta,baharat,ta
gülümseyerek,gülümse,yerek
pençelerini,pençe,lerini
vuracağı,vur,acağı
dergilerimde,dergi,lerimde
geleceğim,gel,ecekim
tatmaya,tat,maya
oturuyor,otur,uyor
pişiriyorlar,pişir,iyorlar
görmediği,gör,mediği
sesleri,ses,leri
fesleğenim,fesleğen,im
hızını,hız,ını
göreyim,gör,eyim
kediden,kedi,den
fırladı,fırla,dı
tüyleriyle,tüy,leriyle
öğretiyorum,öğret,iyorum
ıspanağım,ıspanak,ım
konserim,konser,im
dinleniyorsunuz,dinlen,iyorsunuz
emzirmeye,emzir,meye
ipeklerim,ipek,lerim
kardan,kar,dan
sanmıştım,san,mıştım
portakallarım,portakal,larım
çekmecem,çekmece,m
değil,değil,
yaparsanız,yap,arsanız
koşular,koşu,lar
görerek,gör,erek
pişiriyorsun,pişir,iyorsun
takmış,tak,mış
edeyim,ede,yim
yakalayıp,yakala,yıp
masada,masa,da
sözleri,söz,leri
yığıldı,yığ,ıldı
dikleşti,dik,leşti
anlıyorsun,anla,yorsun
olduysam,ol,duysam
atıştık,atış,tık
halde,hal,de
idam,idam,
durumdan,durum,dan
gerek,gerek,
susturuldu,sustur,uldu
maydanozum,maydanoz,um
pisi,pisi,
getirir,getiri,r
alıyor,al,ıyor
ummuştu,um,muştu
tahta,tahta,
başlamadan,başla,madan
boyamakla,boya,makla
parçalarını,parça,larını
olduğuna,ol,duğuna
onları,onlar,ı
yürüyoruz,yürü,yoruz
muzlarım,muz,larım
edecek,et,ecek
ceketten,ceket,ten
gözler,gözle,r
romumda,rom,umda
serseme,sersem,e
istedi,iste,di
modern,modern,
zaman,zaman,
dinlemek,dinle,mek
elimden,elim,den
dibine,dib,ine
beşer,beş,er
arada,ara,da
yazacaksın,yaz,acaksın
öğretmende,öğretmen,de
yüklüyorlar,yükle,üyorlar
tutabildi,tut,abildi
kavunumda,kavun,umda
attığın,at,tığın
kont,kont,
vodkam,vodka,m
oluşturacak,oluş,turacak
azının,azı,nın
salatalıklarımda,salatalık,larımda
söylemeye,söyle,meye
çikolata,çikolata,
yapacaksın,yap,acaksın
maydanoz,maydanoz,
oradayken,ora,dayken
fareleri,fare,leri
denemeden,deneme,den
şapkam,şapka,m
karıştırmıştı,karış,tırmıştı
kapatacaksın,kapat,acaksın
anlatabilirim,anlat,abilirim
benlerde,ben,lerde
ay,ay,
ulaşabilirim,ulaş,abilirim
sporumda,spor,umda
gülümsüyordu,gülümse,üyordu
bale,bale,
duvarlarımda,duvar,larımda
kayısımda,kayısı,mda
ormanım,orman,ım
operalarım,opera,larım
öğreniyoruz,öğren,iyoruz
konserde,konser,de
kalkışmayız,kalkış,mayız
haritamda,harita,mda
kardeş,kardeş,
ellerine,el,lerine
peynirler,peynir,ler
küçükler,küçük,ler
alamazsın,al,amazsın
telaşlanma,telaşlan,ma
arıyorsunuz,ara,yorsunuz
biliyorum,bil,iyorum
yün,yün,
kaybedilecek,kaybet,ilecek
kardeşinin,kardeş,inin
biri,biri,
yazıyorlar,yaz,ıyorlar
verdi,verdi,
demirini,demiri,ni
büyütürse,büyüt,ürse
öğreteceğiz,öğret,ecekiz
zıplıyor,zıpla,ıyor
pullu,pul,lu
biliyorsunuz,bil,iyorsunuz
şeyleri,şey,leri
kesiyorlar,kes,iyorlar
çırağı,çırak,ğı
görebiliyordu,gör,ebiliyordu
gümüş,gümüş,
kuyu,kuyu,
girecek,gir,ecek
fırtınalarım,fırtına,larım
iste,iste,
komutan,komutan,
duydu,duy,du
temizler,temizle,r
yatıyor,yat,ıyor
kirletiyor,kirlet,iyor
giderken,gider,ken
ağaçtan,ağaç,tan
uçak,uçak,
hepsinin,hepsi,nin
parçasını,parça,sını
manav,manav,
aklımdan,akıl,ımdan
düşünmek,düşün,mek
oyuncağım,oyuncak,ım
kaçmasın,kaç,masın
çorbayı,çorba,yı
bileziğimde,bilezik,imde
dergimde,dergi,mde
karımla,karı,mla
seviyorsun,sev,iyorsun
genişlikteki,genişlik,teki
resim,resim,
çantalar,çanta,lar
incirde,incir,de
greyfurtdan,greyfurt,dan
düşürecek,düşür,ecek
o,o,
gözlerine,göz,lerine
küçülerek,küçül,erek
müdür,müdür,
tempo,tempo,
isterseniz,iste,rseniz
kıracağız,kır,acakız
yirmi,yirmi,
yürüyorlardı,yürü,yorlardı
belirginleşmedi,belirgin,leşmedi
hıçkırıyorsun,hıçkır,ıyorsun
alamadıklarından,al,amadıklarından
mutfağa,mutfak,a
aralarında,ara,larında
çıkacaksın,çık,acaksın
yüzünü,yüz,ünü
yavrusuna,yavru,suna
kajular,kaju,lar
kumlar,kumla,r
ilkimde,ilk,imde
zehirli,zehir,li
saatimde,saat,imde
affetmeyecek,affet,meyecek
yatağımda,yatak,ımda
etlerim,et,lerim
bahçem,bahçe,m
bey,bey,
kendisi,kendi,si
ekmekler,ekmek,ler
babada,baba,da
kaplumbağayı,kaplumbağa,yı
kızgınlığını,kızgın,lığını
bayağı,bayağı,
çiziyorlar,çiz,iyorlar
seçeceğiz,seç,ecekiz
büyümüş,büyü,müş
diyemiyorlar,de,iyemiyorlar
uluma,ulum,a
geziniyor,gezin,iyor
harçlıklarımı,harç,lıklarımı
bademim,badem,im
er,er,
kağıtlarımda,kağıt,larımda
çiziyor,çiz,iyor
gözle,gözle,
