word,root,suffixes
alıyorum,al,ıyorum
görmek,gör,mek
dersin,ders,in
şiddetli,şiddet,li
yumurtalar,yumurta,lar
yanımızda,yan,ımızda
yakalamakta,yakala,makta
arkadaşları,arkadaş,ları
tatillerim,tatil,lerim
buralarda,bura,larda
ayrılmak,ayır,ılmak
kitabımda,kitap,ımda
durmaya,dur,maya
anahtarı,anahtar,ı
fareyle,fare,yle
makasta,makas,ta
yayını,yay,ını
matlarım,mat,larım
baharatta,baharat,ta
gülümseyerek,gül,ümseyerek
pençelerini,pençe,lerini
vuracağı,vur,acağı
dergilerimde,dergi,lerimde
geleceğim,gel,ecekim
tatmaya,tat,maya
oturuyor,otur,uyor
pişiriyorlar,piş,iriyorlar
görmediği,gör,mediği
sesleri,ses,leri
fesleğenim,fesleğen,im
hızını,hız,ını
göreyim,gör,eyim
kediden,kedi,den
fırladı,fırla,dı
tüyleriyle,tüy,leriyle
öğretiyorum,öğret,iyorum
ıspanağım,ıspanak,ım
konserim,konser,im
dinleniyorsunuz,dinlen,iyorsunuz
emzirmeye,em,zirmeye
ipeklerim,ipek,lerim
kardan,kar,dan
sanmıştım,san,mıştım
portakallarım,portakal,larım
çekmecem,çek,mecem
değil,değil,
yaparsanız,yap,arsanız
koşular,koş,ular
görerek,gör,erek
pişiriyorsun,pişir,iyorsun
takmış,tak,mış
edeyim,et,eyim
yakalayıp,yakala,yıp
masada,masa,da
sözleri,söz,leri
yığıldı,yığ,ıldı
dikleşti,dik,leşti
anlıyorsun,anla,yorsun
olduysam,ol,duysam
atıştık,atış,tık
halde,hal,de
idam,idam,
durumdan,dur,umdan
gerek,gerek,
susturuldu,sus,turuldu
maydanozum,maydanoz,um
pisi,pisi,
getirir,getir,ir
alıyor,al,ıyor
ummuştu,um,muştu
tahta,tahta,
başlamadan,baş,lamadan
boyamakla,boya,makla
parçalarını,parça,larını
olduğuna,ol,duğuna
onları,onlar,ı
yürüyoruz,yürü,yoruz
muzlarım,muz,larım
edecek,et,ecek
ceketten,ceket,ten
gözler,gözle,r
romumda,rom,umda
serseme,sersem,e
istedi,iste,di
modern,modern,
zaman,zaman,
dinlemek,dinle,mek
elimden,elim,den
dibine,dip,ine
beşer,beş,er
arada,ara,da
yazacaksın,yaz,acaksın
öğretmende,öğret,mende
yüklüyorlar,yükle,üyorlar
tutabildi,tut,abildi
kavunumda,kavun,umda
attığın,at,tığın
kont,kont,
vodkam,vodka,m
oluşturacak,ol,uşturacak
azının,azı,nın
salatalıklarımda,salatalık,larımda
söylemeye,söyle,meye
çikolata,çikolata,
yapacaksın,yap,acaksın
maydanoz,maydanoz,
oradayken,ora,dayken
fareleri,fare,leri
denemeden,deneme,den
şapkam,şapka,m
karıştırmıştı,kar,ıştırmıştı
kapatacaksın,kapat,acaksın
anlatabilirim,anla,tabilirim
benlerde,ben,lerde
ay,ay,
ulaşabilirim,ulaş,abilirim
sporumda,spor,umda
gülümsüyordu,gül,ümsüyordu
bale,bale,
duvarlarımda,duvar,larımda
kayısımda,kayısı,mda
ormanım,orman,ım
operalarım,opera,larım
öğreniyoruz,öğren,iyoruz
konserde,konser,de
kalkışmayız,kalk,ışmayız
haritamda,harita,mda
kardeş,kardeş,
ellerine,el,lerine
peynirler,peynir,ler
küçükler,küçük,ler
alamazsın,al,amazsın
telaşlanma,telaş,lanma
arıyorsunuz,ara,yorsunuz
biliyorum,bil,iyorum
yün,yün,
kaybedilecek,kaybet,ilecek
kardeşinin,kardeş,inin
biri,biri,
yazıyorlar,yaz,ıyorlar
verdi,verdi,
demirini,demir,ini
büyütürse,büyüt,ürse
öğreteceğiz,öğret,ecekiz
zıplıyor,zıpla,ıyor
pullu,pul,lu
biliyorsunuz,bil,iyorsunuz
şeyleri,şey,leri
kesiyorlar,kes,iyorlar
çırağı,çırak,ğı
görebiliyordu,gör,ebiliyordu
gümüş,gümüş,
kuyu,kuyu,
girecek,gir,ecek
fırtınalarım,fırtına,larım
iste,iste,
komutan,komutan,
duydu,duy,du
temizler,temiz,ler
yatıyor,yat,ıyor
kirletiyor,kir,letiyor
giderken,git,erken
ağaçtan,ağaç,tan
uçak,uç,ak
hepsinin,hepsi,nin
parçasını,parça,sını
manav,manav,
aklımdan,akıl,ımdan
düşünmek,düşün,mek
oyuncağım,oyun,cağım
kaçmasın,kaç,masın
çorbayı,çorba,yı
bileziğimde,bilezik,imde
dergimde,dergi,mde
karımla,karı,mla
seviyorsun,sev,iyorsun
genişlikteki,geniş,likteki
resim,resim,
çantalar,çanta,lar
incirde,incir,de
greyfurtdan,greyfurt,dan
düşürecek,düş,ürecek
o,o,
gözlerine,göz,lerine
küçülerek,küçük,lerek
müdür,müdür,
tempo,tempo,
isterseniz,iste,rseniz
kıracağız,kır,acakız
yirmi,yirmi,
yürüyorlardı,yürü,yorlardı
belirginleşmedi,belir,ginleşmedi
hıçkırıyorsun,hıçkır,ıyorsun
alamadıklarından,al,amadıklarından
mutfağa,mutfak,a
aralarında,ara,larında
çıkacaksın,çık,acaksın
yüzünü,yüz,ünü
yavrusuna,yavru,suna
kajular,kaju,lar
kumlar,kum,lar
ilkimde,ilk,imde
zehirli,zehir,li
saatimde,saat,imde
affetmeyecek,affet,meyecek
yatağımda,yat,ağımda
etlerim,et,lerim
bahçem,bahçe,m
bey,bey,
kendisi,kendi,si
ekmekler,ekmek,ler
babada,baba,da
kaplumbağayı,kaplumbağa,yı
kızgınlığını,kız,gınlığını
bayağı,bayağı,
çiziyorlar,çiz,iyorlar
seçeceğiz,seç,ecekiz
büyümüş,büyü,müş
diyemiyorlar,de,iyemiyorlar
uluma,ulum,a
geziniyor,gez,iniyor
harçlıklarımı,harç,lıklarımı
bademim,badem,im
er,er,
kağıtlarımda,kağıt,larımda
çiziyor,çiz,iyor
